uid	username	wins	rank_of_wins
87	87_username	10	405
96	96_username	10	405
99	99_username	10	405
101	101_username	10	405
106	106_username	10	405
121	121_username	10	405
129	129_username	10	405
132	132_username	10	405
136	136_username	10	405
147	147_username	10	405
148	148_username	10	405
152	152_username	10	405
154	154_username	10	405
157	157_username	10	405
173	173_username	10	405
178	178_username	10	405
183	183_username	10	405
193	193_username	10	405
204	204_username	10	405
212	212_username	10	405
216	216_username	10	405
219	219_username	10	405
231	231_username	10	405
236	236_username	10	405
237	237_username	10	405
250	250_username	10	405
260	260_username	10	405
263	263_username	10	405
268	268_username	10	405
272	272_username	10	405
281	281_username	10	405
287	287_username	10	405
291	291_username	10	405
294	294_username	10	405
295	295_username	10	405
313	313_username	10	405
315	315_username	10	405
320	320_username	10	405
325	325_username	10	405
339	339_username	10	405
341	341_username	10	405
348	348_username	10	405
349	349_username	10	405
353	353_username	10	405
367	367_username	10	405
393	393_username	10	405
415	415_username	10	405
417	417_username	10	405
442	442_username	10	405
446	446_username	10	405
453	453_username	10	405
465	465_username	10	405
478	478_username	10	405
479	479_username	10	405
480	480_username	10	405
484	484_username	10	405
495	495_username	10	405
497	497_username	10	405
498	498_username	10	405
499	499_username	10	405
502	502_username	10	405
510	510_username	10	405
529	529_username	10	405
530	530_username	10	405
535	535_username	10	405
547	547_username	10	405
552	552_username	10	405
554	554_username	10	405
561	561_username	10	405
577	577_username	10	405
590	590_username	10	405
597	597_username	10	405
599	599_username	10	405
601	601_username	10	405
603	603_username	10	405
605	605_username	10	405
608	608_username	10	405
611	611_username	10	405
617	617_username	10	405
631	631_username	10	405
633	633_username	10	405
642	642_username	10	405
663	663_username	10	405
664	664_username	10	405
678	678_username	10	405
689	689_username	10	405
701	701_username	10	405
718	718_username	10	405
721	721_username	10	405
729	729_username	10	405
733	733_username	10	405
735	735_username	10	405
740	740_username	10	405
748	748_username	10	405
766	766_username	10	405
769	769_username	10	405
773	773_username	10	405
787	787_username	10	405
790	790_username	10	405
792	792_username	10	405
793	793_username	10	405
831	831_username	10	405
839	839_username	10	405
844	844_username	10	405
850	850_username	10	405
863	863_username	10	405
872	872_username	10	405
876	876_username	10	405
879	879_username	10	405
888	888_username	10	405
893	893_username	10	405
897	897_username	10	405
898	898_username	10	405
899	899_username	10	405
906	906_username	10	405
911	911_username	10	405
912	912_username	10	405
937	937_username	10	405
950	950_username	10	405
960	960_username	10	405
970	970_username	10	405
973	973_username	10	405
976	976_username	10	405
989	989_username	10	405
990	990_username	10	405
991	991_username	10	405
999	999_username	10	405
1	1_username	9	547
7	7_username	9	547
8	8_username	9	547
31	31_username	9	547
41	41_username	9	547
45	45_username	9	547
52	52_username	9	547
58	58_username	9	547
59	59_username	9	547
72	72_username	9	547
74	74_username	9	547
76	76_username	9	547
78	78_username	9	547
80	80_username	9	547
89	89_username	9	547
102	102_username	9	547
103	103_username	9	547
112	112_username	9	547
114	114_username	9	547
117	117_username	9	547
151	151_username	9	547
155	155_username	9	547
161	161_username	9	547
165	165_username	9	547
177	177_username	9	547
192	192_username	9	547
194	194_username	9	547
198	198_username	9	547
199	199_username	9	547
205	205_username	9	547
211	211_username	9	547
233	233_username	9	547
235	235_username	9	547
240	240_username	9	547
241	241_username	9	547
244	244_username	9	547
270	270_username	9	547
280	280_username	9	547
292	292_username	9	547
301	301_username	9	547
303	303_username	9	547
306	306_username	9	547
322	322_username	9	547
323	323_username	9	547
326	326_username	9	547
335	335_username	9	547
347	347_username	9	547
350	350_username	9	547
355	355_username	9	547
365	365_username	9	547
366	366_username	9	547
371	371_username	9	547
408	408_username	9	547
416	416_username	9	547
420	420_username	9	547
427	427_username	9	547
488	488_username	9	547
501	501_username	9	547
526	526_username	9	547
540	540_username	9	547
542	542_username	9	547
551	551_username	9	547
558	558_username	9	547
565	565_username	9	547
568	568_username	9	547
575	575_username	9	547
581	581_username	9	547
592	592_username	9	547
609	609_username	9	547
620	620_username	9	547
622	622_username	9	547
623	623_username	9	547
624	624_username	9	547
626	626_username	9	547
650	650_username	9	547
657	657_username	9	547
674	674_username	9	547
676	676_username	9	547
683	683_username	9	547
686	686_username	9	547
687	687_username	9	547
688	688_username	9	547
691	691_username	9	547
694	694_username	9	547
695	695_username	9	547
700	700_username	9	547
711	711_username	9	547
714	714_username	9	547
736	736_username	9	547
737	737_username	9	547
746	746_username	9	547
786	786_username	9	547
804	804_username	9	547
807	807_username	9	547
813	813_username	9	547
816	816_username	9	547
823	823_username	9	547
836	836_username	9	547
841	841_username	9	547
842	842_username	9	547
846	846_username	9	547
849	849_username	9	547
858	858_username	9	547
903	903_username	9	547
908	908_username	9	547
921	921_username	9	547
925	925_username	9	547
934	934_username	9	547
940	940_username	9	547
953	953_username	9	547
955	955_username	9	547
957	957_username	9	547
959	959_username	9	547
998	998_username	9	547
0	0_username	8	661
23	23_username	8	661
33	33_username	8	661
50	50_username	8	661
66	66_username	8	661
70	70_username	8	661
88	88_username	8	661
91	91_username	8	661
98	98_username	8	661
125	125_username	8	661
127	127_username	8	661
139	139_username	8	661
145	145_username	8	661
150	150_username	8	661
158	158_username	8	661
169	169_username	8	661
172	172_username	8	661
174	174_username	8	661
208	208_username	8	661
215	215_username	8	661
264	264_username	8	661
266	266_username	8	661
279	279_username	8	661
282	282_username	8	661
286	286_username	8	661
304	304_username	8	661
321	321_username	8	661
324	324_username	8	661
334	334_username	8	661
346	346_username	8	661
363	363_username	8	661
372	372_username	8	661
376	376_username	8	661
378	378_username	8	661
382	382_username	8	661
396	396_username	8	661
401	401_username	8	661
405	405_username	8	661
413	413_username	8	661
414	414_username	8	661
432	432_username	8	661
438	438_username	8	661
447	447_username	8	661
464	464_username	8	661
482	482_username	8	661
486	486_username	8	661
496	496_username	8	661
503	503_username	8	661
519	519_username	8	661
521	521_username	8	661
537	537_username	8	661
538	538_username	8	661
539	539_username	8	661
549	549_username	8	661
550	550_username	8	661
556	556_username	8	661
574	574_username	8	661
586	586_username	8	661
598	598_username	8	661
612	612_username	8	661
613	613_username	8	661
616	616_username	8	661
648	648_username	8	661
655	655_username	8	661
660	660_username	8	661
667	667_username	8	661
668	668_username	8	661
675	675_username	8	661
679	679_username	8	661
680	680_username	8	661
684	684_username	8	661
704	704_username	8	661
712	712_username	8	661
719	719_username	8	661
725	725_username	8	661
732	732_username	8	661
742	742_username	8	661
744	744_username	8	661
763	763_username	8	661
764	764_username	8	661
774	774_username	8	661
778	778_username	8	661
784	784_username	8	661
794	794_username	8	661
796	796_username	8	661
825	825_username	8	661
826	826_username	8	661
828	828_username	8	661
859	859_username	8	661
862	862_username	8	661
865	865_username	8	661
870	870_username	8	661
873	873_username	8	661
875	875_username	8	661
885	885_username	8	661
902	902_username	8	661
905	905_username	8	661
909	909_username	8	661
915	915_username	8	661
916	916_username	8	661
918	918_username	8	661
927	927_username	8	661
952	952_username	8	661
961	961_username	8	661
964	964_username	8	661
971	971_username	8	661
982	982_username	8	661
2	2_username	7	768
29	29_username	7	768
32	32_username	7	768
34	34_username	7	768
84	84_username	7	768
95	95_username	7	768
97	97_username	7	768
110	110_username	7	768
119	119_username	7	768
126	126_username	7	768
130	130_username	7	768
144	144_username	7	768
159	159_username	7	768
166	166_username	7	768
176	176_username	7	768
180	180_username	7	768
181	181_username	7	768
188	188_username	7	768
201	201_username	7	768
224	224_username	7	768
228	228_username	7	768
239	239_username	7	768
242	242_username	7	768
254	254_username	7	768
257	257_username	7	768
302	302_username	7	768
314	314_username	7	768
328	328_username	7	768
336	336_username	7	768
337	337_username	7	768
342	342_username	7	768
351	351_username	7	768
370	370_username	7	768
375	375_username	7	768
399	399_username	7	768
409	409_username	7	768
410	410_username	7	768
423	423_username	7	768
426	426_username	7	768
429	429_username	7	768
431	431_username	7	768
435	435_username	7	768
440	440_username	7	768
444	444_username	7	768
450	450_username	7	768
452	452_username	7	768
455	455_username	7	768
458	458_username	7	768
462	462_username	7	768
475	475_username	7	768
485	485_username	7	768
489	489_username	7	768
494	494_username	7	768
513	513_username	7	768
515	515_username	7	768
524	524_username	7	768
541	541_username	7	768
560	560_username	7	768
562	562_username	7	768
564	564_username	7	768
570	570_username	7	768
582	582_username	7	768
583	583_username	7	768
618	618_username	7	768
646	646_username	7	768
671	671_username	7	768
677	677_username	7	768
681	681_username	7	768
715	715_username	7	768
738	738_username	7	768
747	747_username	7	768
749	749_username	7	768
754	754_username	7	768
758	758_username	7	768
768	768_username	7	768
771	771_username	7	768
791	791_username	7	768
798	798_username	7	768
805	805_username	7	768
808	808_username	7	768
815	815_username	7	768
820	820_username	7	768
821	821_username	7	768
822	822_username	7	768
824	824_username	7	768
829	829_username	7	768
834	834_username	7	768
840	840_username	7	768
845	845_username	7	768
851	851_username	7	768
860	860_username	7	768
868	868_username	7	768
869	869_username	7	768
878	878_username	7	768
881	881_username	7	768
920	920_username	7	768
923	923_username	7	768
928	928_username	7	768
933	933_username	7	768
941	941_username	7	768
948	948_username	7	768
949	949_username	7	768
974	974_username	7	768
979	979_username	7	768
986	986_username	7	768
996	996_username	7	768
13	13_username	6	874
18	18_username	6	874
22	22_username	6	874
48	48_username	6	874
55	55_username	6	874
56	56_username	6	874
62	62_username	6	874
69	69_username	6	874
113	113_username	6	874
120	120_username	6	874
122	122_username	6	874
156	156_username	6	874
163	163_username	6	874
179	179_username	6	874
197	197_username	6	874
206	206_username	6	874
221	221_username	6	874
229	229_username	6	874
274	274_username	6	874
289	289_username	6	874
296	296_username	6	874
311	311_username	6	874
317	317_username	6	874
332	332_username	6	874
338	338_username	6	874
343	343_username	6	874
352	352_username	6	874
404	404_username	6	874
407	407_username	6	874
441	441_username	6	874
448	448_username	6	874
466	466_username	6	874
491	491_username	6	874
506	506_username	6	874
517	517_username	6	874
533	533_username	6	874
572	572_username	6	874
594	594_username	6	874
606	606_username	6	874
717	717_username	6	874
720	720_username	6	874
757	757_username	6	874
772	772_username	6	874
776	776_username	6	874
797	797_username	6	874
803	803_username	6	874
810	810_username	6	874
830	830_username	6	874
848	848_username	6	874
856	856_username	6	874
877	877_username	6	874
884	884_username	6	874
887	887_username	6	874
892	892_username	6	874
929	929_username	6	874
932	932_username	6	874
6	6_username	5	930
10	10_username	5	930
15	15_username	5	930
17	17_username	5	930
47	47_username	5	930
53	53_username	5	930
61	61_username	5	930
82	82_username	5	930
116	116_username	5	930
143	143_username	5	930
162	162_username	5	930
187	187_username	5	930
209	209_username	5	930
214	214_username	5	930
222	222_username	5	930
262	262_username	5	930
278	278_username	5	930
319	319_username	5	930
356	356_username	5	930
454	454_username	5	930
474	474_username	5	930
527	527_username	5	930
534	534_username	5	930
546	546_username	5	930
548	548_username	5	930
563	563_username	5	930
607	607_username	5	930
629	629_username	5	930
639	639_username	5	930
658	658_username	5	930
669	669_username	5	930
726	726_username	5	930
806	806_username	5	930
819	819_username	5	930
854	854_username	5	930
855	855_username	5	930
956	956_username	5	930
981	981_username	5	930
94	94_username	4	968
167	167_username	4	968
261	261_username	4	968
380	380_username	4	968
456	456_username	4	968
470	470_username	4	968
536	536_username	4	968
567	567_username	4	968
632	632_username	4	968
636	636_username	4	968
666	666_username	4	968
670	670_username	4	968
696	696_username	4	968
697	697_username	4	968
728	728_username	4	968
753	753_username	4	968
777	777_username	4	968
782	782_username	4	968
788	788_username	4	968
800	800_username	4	968
809	809_username	4	968
891	891_username	4	968
36	36_username	3	990
267	267_username	3	990
395	395_username	3	990
516	516_username	3	990
604	604_username	3	990
847	847_username	3	990
195	195_username	2	996
203	203_username	2	996
293	293_username	2	996
760	760_username	2	996
945	945_username	2	996
1000	test	None	1001
