uid	username	win_rate
374	374_username	50.0000
375	375_username	43.7500
376	376_username	42.1053
377	377_username	57.8947
378	378_username	34.7826
379	379_username	71.4286
380	380_username	20.0000
381	381_username	52.0000
382	382_username	57.1429
383	383_username	54.5455
384	384_username	62.0690
385	385_username	54.1667
386	386_username	63.6364
387	387_username	50.0000
388	388_username	73.6842
389	389_username	50.0000
390	390_username	54.1667
391	391_username	68.1818
392	392_username	61.9048
393	393_username	47.6190
394	394_username	52.3810
395	395_username	18.7500
396	396_username	61.5385
397	397_username	75.0000
398	398_username	52.3810
399	399_username	36.8421
400	400_username	64.7059
401	401_username	53.3333
402	402_username	78.2609
403	403_username	69.5652
404	404_username	46.1538
405	405_username	47.0588
406	406_username	52.1739
407	407_username	33.3333
408	408_username	56.2500
409	409_username	50.0000
410	410_username	58.3333
411	411_username	70.0000
412	412_username	56.5217
413	413_username	38.0952
414	414_username	50.0000
415	415_username	58.8235
416	416_username	37.5000
417	417_username	55.5556
418	418_username	66.6667
419	419_username	64.7059
420	420_username	42.8571
421	421_username	73.6842
422	422_username	47.8261
423	423_username	50.0000
424	424_username	63.1579
425	425_username	58.3333
426	426_username	36.8421
427	427_username	32.1429
428	428_username	60.0000
429	429_username	26.9231
430	430_username	66.6667
431	431_username	38.8889
432	432_username	53.3333
433	433_username	46.4286
434	434_username	44.0000
435	435_username	58.3333
436	436_username	85.7143
437	437_username	56.5217
438	438_username	44.4444
439	439_username	66.6667
440	440_username	46.6667
441	441_username	33.3333
442	442_username	34.4828
443	443_username	66.6667
444	444_username	46.6667
445	445_username	52.3810
446	446_username	45.4545
447	447_username	53.3333
448	448_username	46.1538
449	449_username	60.7143
450	450_username	28.0000
451	451_username	63.8889
452	452_username	50.0000
453	453_username	66.6667
454	454_username	41.6667
455	455_username	50.0000
456	456_username	25.0000
457	457_username	54.1667
458	458_username	41.1765
459	459_username	64.0000
460	460_username	70.0000
461	461_username	42.8571
462	462_username	41.1765
463	463_username	66.6667
464	464_username	44.4444
465	465_username	45.4545
466	466_username	35.2941
467	467_username	45.8333
468	468_username	57.8947
469	469_username	62.9630
470	470_username	33.3333
471	471_username	46.8750
472	472_username	66.6667
473	473_username	60.0000
474	474_username	55.5556
475	475_username	53.8462
476	476_username	48.0000
477	477_username	63.6364
478	478_username	50.0000
479	479_username	47.6190
480	480_username	50.0000
481	481_username	46.1538
482	482_username	32.0000
483	483_username	62.5000
484	484_username	66.6667
485	485_username	46.6667
486	486_username	50.0000
487	487_username	66.6667
488	488_username	52.9412
489	489_username	41.1765
490	490_username	62.9630
491	491_username	35.2941
492	492_username	57.6923
493	493_username	57.8947
494	494_username	50.0000
495	495_username	45.4545
496	496_username	44.4444
497	497_username	41.6667
498	498_username	52.6316
499	499_username	76.9231
500	500_username	52.3810
501	501_username	45.0000
502	502_username	37.0370
503	503_username	47.0588
504	504_username	77.7778
505	505_username	46.1538
506	506_username	42.8571
507	507_username	50.0000
508	508_username	73.3333
509	509_username	50.0000
510	510_username	37.0370
511	511_username	55.0000
512	512_username	66.6667
513	513_username	38.8889
514	514_username	68.7500
515	515_username	41.1765
516	516_username	37.5000
517	517_username	40.0000
518	518_username	53.1250
519	519_username	44.4444
520	520_username	61.1111
521	521_username	42.1053
522	522_username	48.0000
523	523_username	64.2857
524	524_username	53.8462
525	525_username	64.7059
526	526_username	52.9412
527	527_username	31.2500
528	528_username	54.5455
529	529_username	47.6190
530	530_username	43.4783
531	531_username	66.6667
532	532_username	60.8696
533	533_username	46.1538
534	534_username	41.6667
535	535_username	66.6667
536	536_username	28.5714
537	537_username	53.3333
538	538_username	53.3333
539	539_username	47.0588
540	540_username	42.8571
541	541_username	36.8421
542	542_username	64.2857
543	543_username	55.0000
544	544_username	42.3077
545	545_username	45.8333
546	546_username	45.4545
547	547_username	58.8235
548	548_username	38.4615
549	549_username	36.3636
550	550_username	53.3333
551	551_username	56.2500
552	552_username	50.0000
553	553_username	62.5000
554	554_username	47.6190
555	555_username	58.3333
556	556_username	42.1053
557	557_username	45.8333
558	558_username	47.3684
559	559_username	50.0000
560	560_username	43.7500
561	561_username	62.5000
562	562_username	33.3333
563	563_username	31.2500
564	564_username	36.8421
565	565_username	50.0000
566	566_username	78.9474
567	567_username	19.0476
568	568_username	37.5000
569	569_username	55.5556
570	570_username	31.8182
571	571_username	64.7059
572	572_username	40.0000
573	573_username	45.8333
574	574_username	47.0588
575	575_username	52.9412
576	576_username	44.7368
577	577_username	45.4545
578	578_username	54.5455
579	579_username	59.0909
580	580_username	50.0000
581	581_username	52.9412
582	582_username	43.7500
583	583_username	35.0000
584	584_username	65.0000
585	585_username	50.0000
586	586_username	29.6296
587	587_username	57.1429
588	588_username	61.5385
589	589_username	48.2759
590	590_username	58.8235
591	591_username	60.0000
592	592_username	56.2500
593	593_username	56.0000
594	594_username	28.5714
595	595_username	47.8261
596	596_username	66.6667
597	597_username	55.5556
598	598_username	47.0588
599	599_username	45.4545
600	600_username	48.1481
601	601_username	66.6667
602	602_username	57.1429
603	603_username	43.4783
604	604_username	25.0000
605	605_username	62.5000
606	606_username	37.5000
607	607_username	31.2500
608	608_username	71.4286
609	609_username	45.0000
610	610_username	52.1739
611	611_username	41.6667
612	612_username	47.0588
613	613_username	38.0952
614	614_username	66.6667
615	615_username	57.1429
616	616_username	34.7826
617	617_username	41.6667
618	618_username	36.8421
619	619_username	44.8276
620	620_username	50.0000
621	621_username	47.8261
622	622_username	50.0000
623	623_username	56.2500
624	624_username	42.8571
625	625_username	48.1481
626	626_username	36.0000
627	627_username	71.4286
628	628_username	64.0000
629	629_username	35.7143
630	630_username	81.2500
631	631_username	58.8235
632	632_username	28.5714
633	633_username	83.3333
634	634_username	50.0000
635	635_username	54.1667
636	636_username	30.7692
637	637_username	50.0000
638	638_username	40.7407
639	639_username	31.2500
640	640_username	50.0000
641	641_username	57.6923
642	642_username	43.4783
643	643_username	52.0000
644	644_username	66.6667
645	645_username	60.8696
646	646_username	43.7500
647	647_username	72.2222
648	648_username	50.0000
649	649_username	60.0000
650	650_username	52.9412
651	651_username	45.8333
652	652_username	90.0000
653	653_username	66.6667
654	654_username	62.5000
655	655_username	42.1053
656	656_username	48.1481
657	657_username	42.8571
658	658_username	55.5556
659	659_username	61.9048
660	660_username	57.1429
661	661_username	52.1739
662	662_username	50.0000
663	663_username	62.5000
664	664_username	35.7143
665	665_username	55.0000
666	666_username	25.0000
667	667_username	42.1053
668	668_username	38.0952
669	669_username	31.2500
670	670_username	44.4444
671	671_username	33.3333
672	672_username	52.1739
673	673_username	61.5385
674	674_username	42.8571
675	675_username	44.4444
676	676_username	42.8571
677	677_username	46.6667
678	678_username	55.5556
679	679_username	44.4444
680	680_username	50.0000
681	681_username	43.7500
682	682_username	57.1429
683	683_username	37.5000
684	684_username	44.4444
685	685_username	58.3333
686	686_username	45.0000
687	687_username	45.0000
688	688_username	37.5000
689	689_username	52.6316
690	690_username	65.0000
691	691_username	47.3684
692	692_username	53.8462
693	693_username	54.5455
694	694_username	47.3684
695	695_username	56.2500
696	696_username	30.7692
697	697_username	36.3636
698	698_username	55.0000
699	699_username	64.7059
700	700_username	47.3684
701	701_username	55.5556
702	702_username	59.0909
703	703_username	56.0000
704	704_username	61.5385
705	705_username	59.0909
706	706_username	65.5172
707	707_username	50.0000
708	708_username	71.4286
709	709_username	65.0000
710	710_username	45.8333
711	711_username	50.0000
712	712_username	50.0000
713	713_username	52.3810
714	714_username	40.9091
715	715_username	50.0000
716	716_username	61.9048
717	717_username	33.3333
718	718_username	52.6316
719	719_username	53.3333
720	720_username	75.0000
721	721_username	47.6190
722	722_username	43.3333
723	723_username	46.1538
724	724_username	54.5455
725	725_username	32.0000
726	726_username	41.6667
727	727_username	48.1481
728	728_username	36.3636
729	729_username	58.8235
730	730_username	59.0909
731	731_username	60.0000
732	732_username	53.3333
733	733_username	40.0000
734	734_username	68.1818
735	735_username	45.4545
736	736_username	56.2500
737	737_username	40.9091
738	738_username	43.7500
739	739_username	61.1111
740	740_username	43.4783
741	741_username	68.0000
742	742_username	50.0000
743	743_username	44.0000
744	744_username	47.0588
745	745_username	57.6923
746	746_username	56.2500
747	747_username	33.3333
748	748_username	40.0000
749	749_username	43.7500
750	750_username	52.3810
751	751_username	44.8276
752	752_username	60.0000
753	753_username	44.4444
754	754_username	41.1765
755	755_username	44.4444
756	756_username	58.3333
757	757_username	40.0000
758	758_username	38.8889
759	759_username	50.0000
760	760_username	20.0000
761	761_username	54.5455
762	762_username	66.6667
763	763_username	50.0000
764	764_username	47.0588
765	765_username	52.1739
766	766_username	50.0000
767	767_username	55.0000
768	768_username	46.6667
769	769_username	47.6190
770	770_username	52.1739
771	771_username	43.7500
772	772_username	40.0000
773	773_username	43.4783
774	774_username	47.0588
775	775_username	61.1111
776	776_username	46.1538
777	777_username	44.4444
778	778_username	44.4444
779	779_username	58.3333
780	780_username	68.7500
781	781_username	64.0000
782	782_username	18.1818
783	783_username	56.0000
784	784_username	42.1053
785	785_username	48.0000
786	786_username	40.9091
787	787_username	62.5000
788	788_username	28.5714
789	789_username	72.2222
790	790_username	55.5556
791	791_username	30.4348
792	792_username	45.4545
793	793_username	55.5556
794	794_username	50.0000
795	795_username	42.3077
796	796_username	57.1429
797	797_username	50.0000
798	798_username	41.1765
799	799_username	56.0000
800	800_username	33.3333
801	801_username	56.5217
802	802_username	52.0000
803	803_username	28.5714
804	804_username	60.0000
805	805_username	43.7500
806	806_username	33.3333
807	807_username	50.0000
808	808_username	43.7500
809	809_username	33.3333
810	810_username	46.1538
811	811_username	50.0000
812	812_username	68.7500
813	813_username	45.0000
814	814_username	61.1111
815	815_username	36.8421
816	816_username	60.0000
817	817_username	44.4444
818	818_username	75.0000
819	819_username	33.3333
820	820_username	38.8889
821	821_username	46.6667
822	822_username	35.0000
823	823_username	45.0000
824	824_username	31.8182
825	825_username	50.0000
826	826_username	44.4444
827	827_username	60.0000
828	828_username	47.0588
829	829_username	41.1765
830	830_username	37.5000
831	831_username	47.6190
832	832_username	63.1579
833	833_username	56.0000
834	834_username	38.8889
835	835_username	57.6923
836	836_username	52.9412
837	837_username	66.6667
838	838_username	61.1111
839	839_username	47.6190
840	840_username	41.1765
841	841_username	50.0000
842	842_username	37.5000
843	843_username	52.3810
844	844_username	45.4545
845	845_username	41.1765
846	846_username	52.9412
847	847_username	27.2727
848	848_username	35.2941
849	849_username	34.6154
850	850_username	52.6316
851	851_username	38.8889
852	852_username	58.3333
853	853_username	57.1429
854	854_username	35.7143
855	855_username	31.2500
856	856_username	40.0000
857	857_username	65.2174
858	858_username	52.9412
859	859_username	50.0000
860	860_username	31.8182
861	861_username	44.4444
862	862_username	42.1053
863	863_username	58.8235
864	864_username	61.1111
865	865_username	66.6667
866	866_username	68.1818
867	867_username	47.8261
868	868_username	36.8421
869	869_username	33.3333
870	870_username	50.0000
871	871_username	52.1739
872	872_username	45.4545
873	873_username	47.0588
874	874_username	50.0000
875	875_username	38.0952
876	876_username	43.4783
877	877_username	35.2941
878	878_username	43.7500
879	879_username	50.0000
880	880_username	53.5714
881	881_username	43.7500
882	882_username	47.8261
883	883_username	52.3810
884	884_username	37.5000
885	885_username	50.0000
886	886_username	57.8947
887	887_username	35.2941
888	888_username	47.6190
889	889_username	51.8519
890	890_username	52.1739
891	891_username	26.6667
892	892_username	35.2941
893	893_username	55.5556
894	894_username	57.1429
895	895_username	66.6667
896	896_username	68.4211
897	897_username	37.0370
898	898_username	66.6667
899	899_username	50.0000
900	900_username	59.0909
901	901_username	52.1739
902	902_username	44.4444
903	903_username	52.9412
904	904_username	53.5714
905	905_username	42.1053
906	906_username	52.6316
907	907_username	61.9048
908	908_username	52.9412
909	909_username	38.0952
910	910_username	43.3333
911	911_username	47.6190
912	912_username	62.5000
913	913_username	57.1429
914	914_username	60.0000
915	915_username	50.0000
916	916_username	38.0952
917	917_username	60.7143
918	918_username	44.4444
919	919_username	55.0000
920	920_username	50.0000
921	921_username	40.9091
922	922_username	55.1724
923	923_username	36.8421
924	924_username	55.0000
925	925_username	36.0000
926	926_username	50.0000
927	927_username	47.0588
928	928_username	31.8182
929	929_username	37.5000
930	930_username	50.0000
931	931_username	45.8333
932	932_username	37.5000
933	933_username	38.8889
934	934_username	50.0000
935	935_username	68.4211
936	936_username	66.6667
937	937_username	55.5556
938	938_username	66.6667
939	939_username	66.6667
940	940_username	52.9412
941	941_username	35.0000
942	942_username	61.9048
943	943_username	47.8261
944	944_username	50.0000
945	945_username	25.0000
946	946_username	50.0000
947	947_username	52.3810
948	948_username	43.7500
949	949_username	38.8889
950	950_username	50.0000
951	951_username	61.9048
952	952_username	42.1053
953	953_username	52.9412
954	954_username	66.6667
955	955_username	37.5000
956	956_username	29.4118
957	957_username	47.3684
958	958_username	52.0000
959	959_username	56.2500
960	960_username	38.4615
961	961_username	44.4444
962	962_username	57.8947
963	963_username	54.5455
964	964_username	47.0588
965	965_username	48.3871
966	966_username	57.1429
967	967_username	55.5556
968	968_username	75.0000
969	969_username	66.6667
970	970_username	47.6190
971	971_username	26.6667
972	972_username	55.5556
973	973_username	58.8235
974	974_username	46.6667
975	975_username	52.3810
976	976_username	52.6316
977	977_username	68.4211
978	978_username	57.1429
979	979_username	36.8421
980	980_username	50.0000
981	981_username	29.4118
982	982_username	50.0000
983	983_username	60.8696
984	984_username	61.1111
985	985_username	44.0000
986	986_username	35.0000
987	987_username	50.0000
988	988_username	50.0000
989	989_username	50.0000
990	990_username	52.6316
991	991_username	52.6316
992	992_username	55.1724
993	993_username	50.0000
994	994_username	68.4211
995	995_username	42.3077
996	996_username	38.8889
997	997_username	45.8333
998	998_username	60.0000
999	999_username	52.6316
1000	test	None
