uid	username	avg_play_time
159	159_username	00:12:33.7272
160	160_username	00:14:45.7368
161	161_username	00:14:34.9200
162	162_username	00:14:20.2105
163	163_username	00:12:46.7857
164	164_username	00:13:41.9047
165	165_username	00:14:20.9523
166	166_username	00:15:40.1250
167	167_username	00:14:42.9444
168	168_username	00:14:36.6111
169	169_username	00:13:37.8125
170	170_username	00:14:21.4814
171	171_username	00:13:14.2800
172	172_username	00:14:44.7368
173	173_username	00:14:03.7777
174	174_username	00:15:05.8000
175	175_username	00:14:26.3461
176	176_username	00:15:21.8500
177	177_username	00:14:44.4800
178	178_username	00:13:35.0000
179	179_username	00:14:46.0769
180	180_username	00:15:29.6111
181	181_username	00:14:44.7058
182	182_username	00:14:17.2777
183	183_username	00:14:29.3157
184	184_username	00:15:20.5882
185	185_username	00:15:12.5769
186	186_username	00:13:55.9600
187	187_username	00:14:04.8571
188	188_username	00:13:59.2500
189	189_username	00:14:59.6176
190	190_username	00:14:20.3750
191	191_username	00:14:33.1200
192	192_username	00:15:33.2500
193	193_username	00:13:22.2631
194	194_username	00:16:20.1250
195	195_username	00:15:38.2142
196	196_username	00:15:48.0909
197	197_username	00:16:14.4705
198	198_username	00:13:39.4666
199	199_username	00:14:50.5333
200	200_username	00:14:16.7500
201	201_username	00:14:29.5833
202	202_username	00:13:55.2777
203	203_username	00:15:33.1578
204	204_username	00:14:19.2105
205	205_username	00:14:35.6000
206	206_username	00:13:59.7500
207	207_username	00:14:25.3793
208	208_username	00:13:42.0000
209	209_username	00:14:51.3125
210	210_username	00:14:58.2500
211	211_username	00:14:16.5000
212	212_username	00:14:54.0454
213	213_username	00:14:56.0666
214	214_username	00:13:27.6470
215	215_username	00:15:02.4375
216	216_username	00:14:02.3684
217	217_username	00:12:30.8500
218	218_username	00:15:00.1666
219	219_username	00:14:22.9354
220	220_username	00:14:18.3478
221	221_username	00:14:31.5000
222	222_username	00:13:58.1333
223	223_username	00:14:39.2272
224	224_username	00:14:41.0384
225	225_username	00:13:49.0000
226	226_username	00:14:15.7619
227	227_username	00:13:27.7619
228	228_username	00:14:13.3000
229	229_username	00:15:36.6153
230	230_username	00:15:15.7500
231	231_username	00:16:02.3888
232	232_username	00:13:39.5652
233	233_username	00:15:02.5909
234	234_username	00:14:28.6071
235	235_username	00:13:40.4230
236	236_username	00:13:52.6842
237	237_username	00:15:28.8846
238	238_username	00:15:39.5909
239	239_username	00:13:35.5294
240	240_username	00:15:59.3333
241	241_username	00:13:55.5600
242	242_username	00:14:20.7500
243	243_username	00:14:08.9473
244	244_username	00:15:46.2500
245	245_username	00:13:53.2105
246	246_username	00:14:02.3157
247	247_username	00:15:03.5833
248	248_username	00:13:35.6923
249	249_username	00:13:23.0000
250	250_username	00:13:43.5263
251	251_username	00:13:47.7500
252	252_username	00:16:19.6111
253	253_username	00:14:50.1363
254	254_username	00:14:43.5263
255	255_username	00:15:40.3157
256	256_username	00:15:50.4444
257	257_username	00:14:43.7142
258	258_username	00:14:15.0740
259	259_username	00:14:52.6071
260	260_username	00:13:43.3000
261	261_username	00:13:06.1333
262	262_username	00:14:49.7500
263	263_username	00:14:52.5238
264	264_username	00:14:18.0769
265	265_username	00:15:06.8000
266	266_username	00:15:04.1333
267	267_username	00:14:17.5294
268	268_username	00:14:50.9500
269	269_username	00:14:37.3157
270	270_username	00:14:46.0909
271	271_username	00:14:48.5714
272	272_username	00:15:12.3636
273	273_username	00:16:33.4000
274	274_username	00:14:10.0555
275	275_username	00:14:57.3333
276	276_username	00:15:14.1428
277	277_username	00:13:49.2857
278	278_username	00:13:43.1176
279	279_username	00:13:52.2000
280	280_username	00:13:36.7894
281	281_username	00:13:57.5000
282	282_username	00:14:22.1578
283	283_username	00:16:00.6923
284	284_username	00:14:46.5200
285	285_username	00:14:24.7727
286	286_username	00:14:59.4666
287	287_username	00:16:20.8947
288	288_username	00:15:09.7368
289	289_username	00:14:41.1500
290	290_username	00:14:00.3600
291	291_username	00:13:56.7727
292	292_username	00:14:30.9166
293	293_username	00:15:32.6875
294	294_username	00:15:45.9444
295	295_username	00:14:59.0000
296	296_username	00:15:42.0000
297	297_username	00:15:30.1428
298	298_username	00:14:06.1666
299	299_username	00:14:22.1851
300	300_username	00:14:03.2608
301	301_username	00:15:01.4583
302	302_username	00:13:39.9375
303	303_username	00:13:39.0384
304	304_username	00:12:42.0666
305	305_username	00:14:16.8148
306	306_username	00:12:34.4400
307	307_username	00:14:39.5200
308	308_username	00:15:20.6363
309	309_username	00:14:42.5263
310	310_username	00:15:48.4000
311	311_username	00:15:57.6428
312	312_username	00:13:37.2941
313	313_username	00:15:26.2592
314	314_username	00:15:24.9411
315	315_username	00:14:50.7368
316	316_username	00:15:33.3684
317	317_username	00:14:17.6875
318	318_username	00:14:02.6086
319	319_username	00:14:18.7500
320	320_username	00:14:35.2857
321	321_username	00:12:10.7142
322	322_username	00:13:07.6153
323	323_username	00:15:07.3636
324	324_username	00:14:43.7619
325	325_username	00:14:23.6896
326	326_username	00:14:15.0000
327	327_username	00:15:16.3684
328	328_username	00:13:40.6500
329	329_username	00:13:59.2068
330	330_username	00:15:18.4347
331	331_username	00:14:42.8518
332	332_username	00:15:09.1875
333	333_username	00:13:03.1578
334	334_username	00:15:26.2000
335	335_username	00:15:55.2777
336	336_username	00:14:47.8888
337	337_username	00:15:11.9444
338	338_username	00:15:34.0769
339	339_username	00:13:39.3750
340	340_username	00:14:25.1250
341	341_username	00:15:46.3333
342	342_username	00:14:02.9500
343	343_username	00:15:48.7777
344	344_username	00:14:24.7894
345	345_username	00:15:13.2608
346	346_username	00:13:18.5500
347	347_username	00:14:23.5882
348	348_username	00:14:00.4285
349	349_username	00:14:57.9642
350	350_username	00:14:59.7142
351	351_username	00:13:10.5882
352	352_username	00:15:12.4375
353	353_username	00:15:51.8947
354	354_username	00:15:32.9444
355	355_username	00:13:34.6923
356	356_username	00:14:28.6428
357	357_username	00:14:47.8695
358	358_username	00:14:11.1363
359	359_username	00:14:22.2666
360	360_username	00:14:56.9629
361	361_username	00:14:57.9666
362	362_username	00:14:52.0909
363	363_username	00:14:26.9500
364	364_username	00:14:15.2500
365	365_username	00:13:56.4705
366	366_username	00:15:17.4000
367	367_username	00:13:18.4761
368	368_username	00:13:56.2222
369	369_username	00:14:34.7037
370	370_username	00:15:11.2500
371	371_username	00:14:41.1250
372	372_username	00:13:28.9090
373	373_username	00:14:07.4000
374	374_username	00:14:14.5000
375	375_username	00:12:11.6250
376	376_username	00:14:03.5263
377	377_username	00:14:36.1578
378	378_username	00:14:08.2173
379	379_username	00:15:00.9047
380	380_username	00:14:17.3500
381	381_username	00:15:03.9200
382	382_username	00:16:06.0714
383	383_username	00:14:42.1818
384	384_username	00:15:41.9310
385	385_username	00:15:30.2083
386	386_username	00:15:03.0000
387	387_username	00:13:39.0454
388	388_username	00:12:20.4210
389	389_username	00:15:00.5416
390	390_username	00:15:28.4166
391	391_username	00:14:42.0454
392	392_username	00:14:48.7619
393	393_username	00:15:33.2857
394	394_username	00:15:07.4285
395	395_username	00:14:32.4375
396	396_username	00:14:03.7692
397	397_username	00:15:07.6000
398	398_username	00:14:17.9523
399	399_username	00:14:25.6315
400	400_username	00:15:04.8823
401	401_username	00:14:31.5333
402	402_username	00:13:41.0434
403	403_username	00:13:58.5652
404	404_username	00:12:45.1538
405	405_username	00:14:21.9411
406	406_username	00:15:19.7391
407	407_username	00:14:21.8888
408	408_username	00:14:46.6875
409	409_username	00:14:34.2142
410	410_username	00:13:04.5833
411	411_username	00:14:15.0500
412	412_username	00:14:41.8695
413	413_username	00:14:02.1904
414	414_username	00:13:23.7500
415	415_username	00:13:34.1764
416	416_username	00:14:17.2916
417	417_username	00:14:25.0000
418	418_username	00:14:33.9523
419	419_username	00:16:00.4117
420	420_username	00:16:07.5238
421	421_username	00:15:25.9473
422	422_username	00:14:40.7826
423	423_username	00:15:20.8571
424	424_username	00:15:50.9473
425	425_username	00:14:31.3750
426	426_username	00:15:01.8947
427	427_username	00:15:03.2857
428	428_username	00:14:49.5000
429	429_username	00:14:21.5384
430	430_username	00:15:02.6666
431	431_username	00:16:16.9444
432	432_username	00:15:40.1333
433	433_username	00:14:16.5357
434	434_username	00:13:58.8000
435	435_username	00:13:49.7500
436	436_username	00:15:55.0000
437	437_username	00:12:30.8695
438	438_username	00:14:23.5555
439	439_username	00:15:09.0000
440	440_username	00:12:42.1333
441	441_username	00:14:36.0555
442	442_username	00:15:05.2413
443	443_username	00:15:30.8333
444	444_username	00:14:28.7333
445	445_username	00:15:06.6666
446	446_username	00:15:40.5909
447	447_username	00:16:03.9333
448	448_username	00:13:43.0000
449	449_username	00:14:11.3214
450	450_username	00:14:14.2800
451	451_username	00:13:42.0277
452	452_username	00:13:55.7857
453	453_username	00:16:53.8666
454	454_username	00:14:17.3333
455	455_username	00:15:46.7857
456	456_username	00:14:25.5000
457	457_username	00:15:36.0416
458	458_username	00:13:11.6470
459	459_username	00:14:47.6800
460	460_username	00:14:57.0000
461	461_username	00:14:03.2142
462	462_username	00:14:38.0588
463	463_username	00:14:07.2916
464	464_username	00:13:59.2777
465	465_username	00:14:30.0454
466	466_username	00:14:04.0588
467	467_username	00:14:40.5416
468	468_username	00:14:18.3157
469	469_username	00:13:49.6666
470	470_username	00:15:59.3333
471	471_username	00:15:01.5312
472	472_username	00:14:11.6190
473	473_username	00:15:41.8500
474	474_username	00:14:30.6666
475	475_username	00:13:49.4615
476	476_username	00:14:31.8800
477	477_username	00:14:57.7727
478	478_username	00:15:18.9000
479	479_username	00:14:04.9523
480	480_username	00:14:26.8000
481	481_username	00:13:40.0384
482	482_username	00:14:54.0400
483	483_username	00:14:33.6666
484	484_username	00:14:15.4666
485	485_username	00:14:14.9333
486	486_username	00:15:40.1875
487	487_username	00:14:43.0952
488	488_username	00:15:52.5294
489	489_username	00:14:26.7058
490	490_username	00:14:29.5555
491	491_username	00:14:46.7647
492	492_username	00:14:34.5769
493	493_username	00:15:34.3684
494	494_username	00:14:48.0714
495	495_username	00:15:25.3181
496	496_username	00:14:37.3888
497	497_username	00:14:22.6250
498	498_username	00:14:49.0000
499	499_username	00:15:16.9230
500	500_username	00:13:13.6190
501	501_username	00:13:36.2500
502	502_username	00:13:41.8518
503	503_username	00:15:32.5882
504	504_username	00:13:26.6111
505	505_username	00:14:12.4230
506	506_username	00:15:04.5714
507	507_username	00:13:44.4545
508	508_username	00:14:58.8666
509	509_username	00:14:57.5000
510	510_username	00:13:55.6296
511	511_username	00:14:34.7000
512	512_username	00:15:19.9047
513	513_username	00:14:55.2777
514	514_username	00:13:47.8125
515	515_username	00:14:58.8235
516	516_username	00:15:11.7500
517	517_username	00:14:42.2000
518	518_username	00:14:50.3125
519	519_username	00:13:56.1666
520	520_username	00:14:41.5555
521	521_username	00:13:29.0526
522	522_username	00:15:50.3600
523	523_username	00:14:24.5714
524	524_username	00:15:30.0000
525	525_username	00:14:18.5294
526	526_username	00:14:40.5882
527	527_username	00:14:12.5625
528	528_username	00:15:58.1363
529	529_username	00:14:29.1904
530	530_username	00:14:39.5652
531	531_username	00:13:17.0000
532	532_username	00:14:31.0869
533	533_username	00:13:14.5384
534	534_username	00:16:38.4166
535	535_username	00:14:38.1333
536	536_username	00:15:32.0714
537	537_username	00:14:26.8000
538	538_username	00:15:08.5333
539	539_username	00:15:05.0588
540	540_username	00:14:27.5714
541	541_username	00:15:27.0526
542	542_username	00:15:19.6428
543	543_username	00:15:56.0500
544	544_username	00:14:25.4230
545	545_username	00:15:53.5833
546	546_username	00:14:21.0909
547	547_username	00:13:46.5294
548	548_username	00:15:25.3076
549	549_username	00:15:00.9545
550	550_username	00:13:34.4666
551	551_username	00:16:06.0000
552	552_username	00:14:33.7000
553	553_username	00:14:54.3333
554	554_username	00:13:23.1904
555	555_username	00:14:32.6666
556	556_username	00:14:15.0000
557	557_username	00:14:55.5000
558	558_username	00:13:08.8421
559	559_username	00:13:41.5000
560	560_username	00:15:09.5625
561	561_username	00:14:44.3125
562	562_username	00:14:59.0000
563	563_username	00:14:42.1875
564	564_username	00:15:57.8421
565	565_username	00:14:35.3888
566	566_username	00:14:03.8421
567	567_username	00:14:27.1904
568	568_username	00:14:45.3750
569	569_username	00:14:08.5925
570	570_username	00:14:37.2727
571	571_username	00:14:27.2941
572	572_username	00:13:05.4000
573	573_username	00:15:43.6250
574	574_username	00:13:40.4117
575	575_username	00:13:50.7647
576	576_username	00:14:51.7368
577	577_username	00:14:17.9090
578	578_username	00:15:35.4545
579	579_username	00:15:21.7272
580	580_username	00:15:14.3214
581	581_username	00:14:23.0588
582	582_username	00:14:22.3125
583	583_username	00:13:14.6000
584	584_username	00:15:17.0000
585	585_username	00:14:03.9583
586	586_username	00:14:58.0370
587	587_username	00:14:44.3928
588	588_username	00:14:06.8076
589	589_username	00:14:31.8620
590	590_username	00:16:02.4705
591	591_username	00:14:02.6000
592	592_username	00:13:16.9375
593	593_username	00:15:30.4800
594	594_username	00:15:00.4761
595	595_username	00:14:46.8695
596	596_username	00:14:59.4761
597	597_username	00:14:43.3333
598	598_username	00:14:58.1764
599	599_username	00:15:52.3181
600	600_username	00:15:45.9629
601	601_username	00:13:54.4666
602	602_username	00:15:12.9047
603	603_username	00:13:49.0434
604	604_username	00:15:32.5000
605	605_username	00:14:19.6250
606	606_username	00:16:51.6250
607	607_username	00:15:31.7500
608	608_username	00:14:03.7142
609	609_username	00:14:23.1000
610	610_username	00:13:13.6956
611	611_username	00:15:39.2083
612	612_username	00:15:20.2352
613	613_username	00:14:12.3333
614	614_username	00:14:15.5416
615	615_username	00:14:34.5714
616	616_username	00:13:11.2608
617	617_username	00:14:26.1250
618	618_username	00:14:22.1578
619	619_username	00:14:30.7241
620	620_username	00:14:54.2222
621	621_username	00:14:52.9130
622	622_username	00:16:19.1666
623	623_username	00:15:12.7500
624	624_username	00:16:09.3809
625	625_username	00:14:42.2962
626	626_username	00:14:05.9600
627	627_username	00:14:53.9285
628	628_username	00:12:43.7200
629	629_username	00:15:33.7857
630	630_username	00:14:52.1250
631	631_username	00:14:03.8823
632	632_username	00:14:56.2142
633	633_username	00:13:29.3333
634	634_username	00:14:19.0000
635	635_username	00:15:41.1666
636	636_username	00:13:49.2307
637	637_username	00:15:27.9285
638	638_username	00:14:38.5185
639	639_username	00:13:45.3125
640	640_username	00:15:23.3571
641	641_username	00:13:26.5000
642	642_username	00:14:18.4782
643	643_username	00:14:59.8000
644	644_username	00:13:52.5000
645	645_username	00:14:59.4347
646	646_username	00:14:21.3125
647	647_username	00:14:31.6111
648	648_username	00:15:52.0625
649	649_username	00:14:36.4000
650	650_username	00:14:49.6470
651	651_username	00:13:35.7916
652	652_username	00:14:23.3000
653	653_username	00:13:57.7916
654	654_username	00:14:57.4583
655	655_username	00:14:52.0526
656	656_username	00:13:57.8888
657	657_username	00:12:54.4285
658	658_username	00:15:08.0000
659	659_username	00:14:53.4285
660	660_username	00:13:37.5714
661	661_username	00:15:04.5217
662	662_username	00:14:03.3181
663	663_username	00:14:43.3750
664	664_username	00:15:03.6071
665	665_username	00:13:35.7000
666	666_username	00:14:26.4375
667	667_username	00:14:21.5263
668	668_username	00:15:02.4761
669	669_username	00:14:04.0625
670	670_username	00:14:27.1111
671	671_username	00:13:18.7619
672	672_username	00:15:28.9130
673	673_username	00:13:26.6538
674	674_username	00:15:32.3333
675	675_username	00:14:20.2222
676	676_username	00:14:55.6666
677	677_username	00:13:46.3333
678	678_username	00:15:16.7777
679	679_username	00:16:53.2222
680	680_username	00:14:01.8750
681	681_username	00:15:09.1875
682	682_username	00:13:35.5238
683	683_username	00:14:05.7916
684	684_username	00:15:31.8333
685	685_username	00:15:03.2916
686	686_username	00:14:35.9500
687	687_username	00:15:00.1500
688	688_username	00:14:42.0000
689	689_username	00:15:23.7368
690	690_username	00:14:05.4500
691	691_username	00:15:30.0526
692	692_username	00:14:19.1538
693	693_username	00:14:01.9090
694	694_username	00:13:30.3684
695	695_username	00:14:27.0625
696	696_username	00:15:17.5384
697	697_username	00:14:48.6363
698	698_username	00:12:51.9000
699	699_username	00:15:16.6470
700	700_username	00:15:15.4736
701	701_username	00:13:48.6666
702	702_username	00:15:17.6818
703	703_username	00:15:07.5600
704	704_username	00:15:45.5384
705	705_username	00:15:11.5909
706	706_username	00:14:39.1379
707	707_username	00:14:36.2916
708	708_username	00:13:23.9523
709	709_username	00:14:54.3500
710	710_username	00:13:25.9583
711	711_username	00:14:09.3333
712	712_username	00:15:18.8125
713	713_username	00:14:06.7142
714	714_username	00:14:57.5909
715	715_username	00:14:13.6428
716	716_username	00:14:39.6666
717	717_username	00:15:06.5555
718	718_username	00:13:58.0526
719	719_username	00:13:15.6666
720	720_username	00:13:20.3750
721	721_username	00:14:06.7619
722	722_username	00:14:58.2000
723	723_username	00:14:38.6923
724	724_username	00:15:04.4090
725	725_username	00:13:11.4400
726	726_username	00:16:35.2500
727	727_username	00:15:06.0740
728	728_username	00:13:31.2727
729	729_username	00:15:53.8823
730	730_username	00:14:29.3181
731	731_username	00:14:11.3142
732	732_username	00:13:47.8000
733	733_username	00:13:52.4800
734	734_username	00:14:30.4090
735	735_username	00:12:46.0454
736	736_username	00:14:18.5625
737	737_username	00:14:37.4090
738	738_username	00:14:50.5625
739	739_username	00:14:25.0000
740	740_username	00:14:41.3913
741	741_username	00:15:04.0000
742	742_username	00:13:47.1875
743	743_username	00:14:22.0800
744	744_username	00:15:22.5294
745	745_username	00:14:55.7307
746	746_username	00:13:12.8750
747	747_username	00:14:28.4285
748	748_username	00:15:05.8400
749	749_username	00:13:59.3750
750	750_username	00:14:53.3809
751	751_username	00:14:26.7586
752	752_username	00:13:54.4000
753	753_username	00:13:51.0000
754	754_username	00:13:52.3529
755	755_username	00:14:36.2592
756	756_username	00:14:51.6250
757	757_username	00:13:36.7333
758	758_username	00:14:47.9444
759	759_username	00:14:41.5000
760	760_username	00:16:23.4000
761	761_username	00:14:40.0454
762	762_username	00:14:39.8333
763	763_username	00:15:00.1250
764	764_username	00:14:20.7647
765	765_username	00:13:27.3478
766	766_username	00:15:08.1000
767	767_username	00:13:54.4500
768	768_username	00:13:07.2666
769	769_username	00:15:12.2857
770	770_username	00:14:46.3913
771	771_username	00:14:49.8125
772	772_username	00:14:40.8666
773	773_username	00:14:38.1304
774	774_username	00:13:55.2352
775	775_username	00:13:29.1111
776	776_username	00:14:39.3076
777	777_username	00:13:52.4444
778	778_username	00:13:49.2222
779	779_username	00:14:31.2500
780	780_username	00:15:01.0625
781	781_username	00:14:50.1200
782	782_username	00:15:14.9545
783	783_username	00:12:55.9200
784	784_username	00:13:56.0526
785	785_username	00:14:34.7600
786	786_username	00:14:53.0909
787	787_username	00:13:52.8125
788	788_username	00:14:56.9285
789	789_username	00:15:26.2777
790	790_username	00:14:18.9444
791	791_username	00:14:58.9565
792	792_username	00:13:46.2272
793	793_username	00:15:01.2777
794	794_username	00:14:32.1875
795	795_username	00:14:13.6923
796	796_username	00:14:51.2857
797	797_username	00:14:52.0833
798	798_username	00:13:50.2352
799	799_username	00:14:01.8400
800	800_username	00:14:35.2500
801	801_username	00:13:39.1739
802	802_username	00:14:07.0400
803	803_username	00:14:10.0476
804	804_username	00:13:56.7333
805	805_username	00:14:05.1250
806	806_username	00:14:56.4666
807	807_username	00:13:50.9444
808	808_username	00:14:59.5000
809	809_username	00:16:30.9166
810	810_username	00:14:01.6923
811	811_username	00:14:48.9615
812	812_username	00:14:39.6250
813	813_username	00:14:01.4500
814	814_username	00:14:54.0555
815	815_username	00:15:09.9473
816	816_username	00:15:35.8666
817	817_username	00:15:16.6666
818	818_username	00:15:43.5000
819	819_username	00:13:14.4666
820	820_username	00:14:58.8888
821	821_username	00:16:13.4000
822	822_username	00:15:35.7500
823	823_username	00:13:34.7000
824	824_username	00:14:15.8181
825	825_username	00:14:53.1250
826	826_username	00:14:36.9444
827	827_username	00:15:47.5000
828	828_username	00:15:32.8823
829	829_username	00:14:43.0588
830	830_username	00:13:48.0000
831	831_username	00:14:58.5714
832	832_username	00:14:19.1578
833	833_username	00:15:29.6800
834	834_username	00:14:15.9444
835	835_username	00:14:25.8076
836	836_username	00:14:03.7058
837	837_username	00:14:32.3333
838	838_username	00:15:11.2777
839	839_username	00:15:27.6666
840	840_username	00:15:04.2941
841	841_username	00:13:53.4444
842	842_username	00:13:20.3333
843	843_username	00:15:38.7619
844	844_username	00:14:57.4545
845	845_username	00:13:14.7058
846	846_username	00:15:19.6470
847	847_username	00:13:22.0000
848	848_username	00:15:20.3529
849	849_username	00:14:35.6153
850	850_username	00:15:22.5789
851	851_username	00:13:43.0555
852	852_username	00:14:34.6250
853	853_username	00:15:31.0952
854	854_username	00:13:59.2857
855	855_username	00:14:59.3750
856	856_username	00:14:21.6000
857	857_username	00:14:14.6086
858	858_username	00:13:32.3529
859	859_username	00:13:24.8750
860	860_username	00:13:23.3181
861	861_username	00:14:04.4444
862	862_username	00:13:29.6842
863	863_username	00:15:01.1764
864	864_username	00:14:58.4444
865	865_username	00:15:05.0833
866	866_username	00:15:52.9090
867	867_username	00:15:00.7826
868	868_username	00:14:28.3684
869	869_username	00:15:08.3809
870	870_username	00:13:35.7500
871	871_username	00:13:23.0869
872	872_username	00:15:03.8181
873	873_username	00:14:02.6470
874	874_username	00:14:51.6538
875	875_username	00:15:08.0000
876	876_username	00:14:31.4782
877	877_username	00:15:18.1764
878	878_username	00:15:37.2500
879	879_username	00:13:20.3500
880	880_username	00:14:35.3214
881	881_username	00:15:04.9375
882	882_username	00:14:39.8695
883	883_username	00:14:01.6666
884	884_username	00:15:21.0625
885	885_username	00:15:03.5000
886	886_username	00:13:16.5789
887	887_username	00:13:42.5882
888	888_username	00:14:10.7142
889	889_username	00:15:42.2962
890	890_username	00:14:30.2608
891	891_username	00:15:01.8666
892	892_username	00:14:23.2352
893	893_username	00:14:59.0000
894	894_username	00:14:01.0952
895	895_username	00:14:04.9444
896	896_username	00:14:13.2105
897	897_username	00:16:23.8518
898	898_username	00:15:53.6666
899	899_username	00:14:14.7500
900	900_username	00:14:13.0909
901	901_username	00:14:56.1304
902	902_username	00:14:55.3888
903	903_username	00:15:46.5882
904	904_username	00:13:46.5357
905	905_username	00:13:11.0526
906	906_username	00:13:35.2105
907	907_username	00:14:16.6190
908	908_username	00:14:11.1176
909	909_username	00:15:04.2857
910	910_username	00:14:46.4000
911	911_username	00:13:49.5714
912	912_username	00:15:37.2500
913	913_username	00:14:35.3333
914	914_username	00:15:00.0400
915	915_username	00:15:14.6250
916	916_username	00:13:53.0952
917	917_username	00:15:17.9642
918	918_username	00:14:43.5000
919	919_username	00:15:32.1500
920	920_username	00:14:53.0000
921	921_username	00:13:52.9090
922	922_username	00:13:21.5517
923	923_username	00:14:39.2105
924	924_username	00:14:18.0500
925	925_username	00:15:02.6400
926	926_username	00:14:08.9166
927	927_username	00:15:08.8235
928	928_username	00:15:12.6363
929	929_username	00:13:49.0000
930	930_username	00:14:15.9615
